order_item_id,order_id,product_id,quantity,unit_price,unit_price_after_discount,line_total,discount_percent,commission_amount,maintenance_amount,shipping_fee_item,estimated_delivery_start,estimated_delivery_end,item_status,is_campaign,product_campaign_id
25,19,P004437,1,5423.48,5423.48,5423.48,0,433.88,27.12,150,3/11/2025,3/13/2025 0:00,Completed,0,
26,20,P004343,3,11237.77,11237.77,33713.32,0,2697.07,168.57,150,3/20/2025,3/21/2025 0:00,Cancelled,0,
27,20,P002720,1,12228.44,12228.44,12228.44,0,978.28,0,150,3/21/2025,3/23/2025 0:00,Completed,0,
28,21,P001440,2,19984.11,19984.11,39968.23,0,1998.41,0,100,5/14/2025,5/16/2025 0:00,Completed,0,
29,21,P004706,1,194.14,194.14,194.14,0,5.82,3.88,30,5/12/2025,5/13/2025 0:00,Completed,0,
30,22,P001279,1,32048.23,32048.23,32048.23,0,1602.41,0,50,9/13/2024,9/15/2024 0:00,Cancelled,0,
31,22,P004779,1,75.76,75.76,75.76,0,2.27,1.52,50,9/15/2024,9/17/2024 0:00,Completed,0,
32,23,P004849,1,7590.46,7590.46,7590.46,0,607.24,37.95,150,12/9/2023,12/11/2023 0:00,Completed,0,
33,23,P000661,1,112.67,112.67,112.67,0,3.38,0,70,12/9/2023,12/11/2023 0:00,Completed,0,
34,24,P000742,1,114.83,104.61,104.61,8.9,3.14,0,50,11/11/2024,11/13/2024 0:00,Completed,1,
35,25,P001692,2,7817.3,7817.3,15634.59,0,1250.77,0,200,9/3/2025,9/5/2025 0:00,Completed,0,
36,25,P002574,1,16072.21,16072.21,16072.21,0,803.61,0,100,9/1/2025,9/3/2025 0:00,Completed,0,
37,26,P004828,1,12009.07,12009.07,12009.07,0,960.73,60.05,200,6/29/2025,7/1/2025 0:00,Completed,0,
38,27,P001695,2,1022.77,1022.77,2045.54,0,163.64,0,70,5/16/2025,5/18/2025 0:00,Completed,0,
39,28,P003492,1,11618.49,11618.49,11618.49,0,929.48,0,200,6/18/2025,6/20/2025 0:00,Completed,0,
40,28,P003006,1,7959.91,7959.91,7959.91,0,636.79,0,150,6/16/2025,6/18/2025 0:00,Completed,0,
41,29,P004636,1,12840.66,12840.66,12840.66,0,1027.25,64.2,200,12/11/2025,12/13/2025 0:00,Completed,0,
42,29,P002359,1,69.06,69.06,69.06,0,2.07,0,70,12/10/2025,12/12/2025 0:00,Completed,0,
43,30,P000607,1,129.68,129.68,129.68,0,3.89,0,50,12/24/2022,12/26/2022 0:00,Completed,0,
44,30,P003660,2,352,352,704,0,70.4,0,20,12/24/2022,12/26/2022 0:00,Completed,0,
45,31,P000012,2,34043.67,34043.67,68087.33,0,3404.37,0,50,12/19/2024,12/20/2024 0:00,Completed,0,
46,32,P003949,1,7349.15,7349.15,7349.15,0,587.93,36.75,150,11/26/2025,11/27/2025 0:00,Cancelled,0,
47,33,P003584,1,731.79,731.79,731.79,0,87.82,0,20,4/11/2024,4/13/2024 0:00,Completed,0,
48,34,P000824,1,126.92,126.92,126.92,0,3.81,0,70,11/14/2024,11/15/2024 0:00,Cancelled,0,
49,34,P000646,1,113,113,113,0,3.39,0,50,11/14/2024,11/16/2024 0:00,Completed,0,
50,35,P000794,1,230.71,230.71,230.71,0,6.92,0,70,12/22/2024,12/24/2024 0:00,Cancelled,0,
51,36,P003993,2,4946.45,4946.45,9892.89,0,494.64,49.46,50,3/18/2025,3/19/2025 0:00,Completed,0,
52,37,P001530,1,13848.75,13848.75,13848.75,0,1107.9,0,200,8/29/2022,8/31/2022 0:00,Cancelled,0,
53,37,P004693,1,270.47,270.47,270.47,0,8.11,5.41,70,8/29/2022,8/30/2022 0:00,Cancelled,0,
54,37,P001540,2,5390.77,5390.77,10781.55,0,862.52,0,150,8/30/2022,9/1/2022 0:00,Cancelled,0,
55,37,P002904,1,191.54,191.54,191.54,0,5.75,0,70,8/31/2022,9/2/2022 0:00,Completed,0,
56,38,P001476,1,2897.48,2897.48,2897.48,0,231.8,0,70,12/19/2025,12/21/2025 0:00,Completed,0,
57,39,P001718,1,7091.74,7091.74,7091.74,0,567.34,0,150,2/5/2025,2/6/2025 0:00,Cancelled,0,
58,39,P001518,2,10967.06,10967.06,21934.13,0,1754.73,0,200,2/5/2025,2/7/2025 0:00,Completed,0,
59,39,P003559,3,204.72,204.72,614.15,0,73.7,0,20,2/6/2025,2/7/2025 0:00,Cancelled,0,
60,39,P001304,1,5102.37,5102.37,5102.37,0,408.19,0,200,2/6/2025,2/8/2025 0:00,Cancelled,0,
61,40,P002754,1,128.26,128.26,128.26,0,3.85,0,50,12/28/2024,12/30/2024 0:00,Cancelled,0,
62,41,P001407,1,1718.91,1718.91,1718.91,0,171.89,0,30,3/7/2024,3/8/2024 0:00,Completed,0,
63,42,P003132,2,3936.93,3936.93,7873.86,0,629.91,0,100,7/8/2025,7/9/2025 0:00,Completed,0,
64,43,P000148,1,5833.44,5833.44,5833.44,0,291.67,0,50,7/30/2024,8/1/2024 0:00,Completed,0,
65,44,P003118,1,1062.39,1062.39,1062.39,0,84.99,0,50,9/22/2025,9/24/2025 0:00,Cancelled,0,
66,45,P004433,2,777.02,777.02,1554.04,0,155.4,7.77,20,1/27/2025,1/29/2025 0:00,Completed,0,
67,45,P001202,1,10048.24,10048.24,10048.24,0,803.86,0,200,1/26/2025,1/28/2025 0:00,Completed,0,
68,46,P002770,1,4247.37,4247.37,4247.37,0,339.79,0,200,9/24/2025,9/26/2025 0:00,Completed,0,
69,46,P000577,1,1127.6,1127.6,1127.6,0,135.31,0,20,9/25/2025,9/27/2025 0:00,Completed,0,
70,47,P000936,1,11293.63,11293.63,11293.63,0,903.49,0,200,6/15/2024,6/17/2024 0:00,Cancelled,0,
71,48,P002416,2,103.65,103.65,207.29,0,6.22,0,70,3/8/2024,3/10/2024 0:00,Completed,0,
72,49,P004016,1,2425.56,2425.56,2425.56,0,194.04,12.13,50,7/3/2025,7/5/2025 0:00,Cancelled,0,
73,49,P003853,1,9431.99,9431.99,9431.99,0,754.56,0,150,7/4/2025,7/6/2025 0:00,Completed,0,
74,50,P000598,1,61.33,61.33,61.33,0,1.84,0,50,3/30/2024,4/1/2024 0:00,Cancelled,0,
75,50,P003304,1,14173.5,14173.5,14173.5,0,708.68,0,100,3/30/2024,4/1/2024 0:00,Cancelled,0,
76,51,P000866,1,171.17,155.6,155.6,9.1,4.67,0,70,4/16/2023,4/18/2023 0:00,Cancelled,1,
77,52,P002117,2,10261.48,10261.48,20522.95,0,1641.84,0,200,9/6/2024,9/8/2024 0:00,Completed,0,
78,53,P000489,2,12746.01,10885.09,21770.18,14.6,1741.61,0,150,9/10/2023,9/11/2023 0:00,Completed,1,PC014276
79,53,P002258,1,9746.8,8362.76,8362.76,14.2,669.02,0,200,9/11/2023,9/12/2023 0:00,Completed,1,
80,53,P000661,3,126.38,116.14,348.43,8.1,10.45,0,70,9/9/2023,9/11/2023 0:00,Completed,1,
81,53,P004166,1,53.93,50.75,50.75,5.9,1.52,1.01,50,9/10/2023,9/12/2023 0:00,Completed,1,
82,54,P004104,1,21291.42,21291.42,21291.42,0,1064.57,106.46,50,10/3/2025,10/5/2025 0:00,Completed,0,
83,54,P003102,1,14683.38,14683.38,14683.38,0,1174.67,0,150,10/1/2025,10/2/2025 0:00,Completed,0,
84,54,P004835,1,19017.98,19017.98,19017.98,0,950.9,95.09,100,10/1/2025,10/2/2025 0:00,Completed,0,
85,55,P000102,2,58.41,54.38,108.76,6.9,3.26,0,70,9/10/2025,9/12/2025 0:00,Completed,1,PC014279
86,56,P000762,1,72.2,72.2,72.2,0,2.17,0,70,12/25/2025,12/27/2025 0:00,Completed,0,
87,57,P001481,1,5267.32,5267.32,5267.32,0,421.39,0,200,3/31/2024,4/1/2024 0:00,Completed,0,
88,57,P004189,1,10046.67,10046.67,10046.67,0,803.73,50.23,150,3/31/2024,4/2/2024 0:00,Cancelled,0,
89,57,P000943,1,13690.59,13690.59,13690.59,0,1095.25,0,150,3/30/2024,4/1/2024 0:00,Cancelled,0,
90,58,P002856,1,219.75,219.75,219.75,0,26.37,0,20,10/21/2023,10/23/2023 0:00,Completed,0,
91,59,P002822,2,13634.08,13634.08,27268.16,0,2181.45,0,150,9/28/2025,9/30/2025 0:00,Cancelled,0,
92,59,P004142,1,3448.44,3448.44,3448.44,0,275.87,17.24,100,9/28/2025,9/30/2025 0:00,Completed,0,
93,59,P000064,2,7043.02,7043.02,14086.04,0,1126.88,0,200,9/27/2025,9/29/2025 0:00,Cancelled,0,
94,60,P003946,1,8991.64,8991.64,8991.64,0,719.33,44.96,150,4/21/2025,4/23/2025 0:00,Refunded,0,
95,61,P003674,1,184.22,184.22,184.22,0,5.53,0,70,5/2/2025,5/4/2025 0:00,Cancelled,0,
96,62,P001530,1,11783.93,11783.93,11783.93,0,942.71,0,200,12/17/2022,12/19/2022 0:00,Completed,0,
97,63,P003531,2,4779.54,4779.54,9559.09,0,764.73,0,200,6/28/2025,6/30/2025 0:00,Completed,0,
98,64,P002040,1,38.1,38.1,38.1,0,1.14,0,50,9/18/2024,9/20/2024 0:00,Completed,0,
99,64,P001730,2,5765.8,5765.8,11531.59,0,922.53,0,150,9/17/2024,9/19/2024 0:00,Refunded,0,
100,65,P002467,1,7217.12,7217.12,7217.12,0,577.37,0,100,12/31/2025,1/2/2026 0:00,Completed,0,
101,65,P002511,2,2018,2018,4036,0,322.88,0,100,12/31/2025,1/2/2026 0:00,Completed,0,
102,65,P001703,2,12153.02,12153.02,24306.03,0,1944.48,0,150,1/2/2026,1/3/2026 0:00,Completed,0,
103,66,P004629,1,4779.46,4779.46,4779.46,0,382.36,23.9,150,4/13/2025,4/15/2025 0:00,Cancelled,0,
104,66,P002267,1,6908.89,6908.89,6908.89,0,552.71,0,200,4/11/2025,4/12/2025 0:00,Completed,0,
105,67,P000738,1,102.9,102.9,102.9,0,3.09,0,70,12/27/2024,12/28/2024 0:00,Cancelled,0,
106,68,P003931,1,3014.61,3014.61,3014.61,0,301.46,15.07,30,10/31/2024,11/2/2024 0:00,Completed,0,
107,69,P003212,1,75.17,75.17,75.17,0,2.26,0,70,9/3/2025,9/4/2025 0:00,Cancelled,0,
108,69,P000926,1,7956.01,7956.01,7956.01,0,636.48,0,200,9/3/2025,9/5/2025 0:00,Completed,0,
109,69,P003166,1,873.5,873.5,873.5,0,43.68,0,20,9/2/2025,9/4/2025 0:00,Cancelled,0,
110,69,P000620,1,52.66,52.66,52.66,0,1.58,0,50,9/3/2025,9/4/2025 0:00,Completed,0,
111,70,P001517,1,8430.34,8430.34,8430.34,0,674.43,0,200,1/23/2025,1/25/2025 0:00,Cancelled,0,
112,70,P000600,1,77.4,77.4,77.4,0,2.32,0,70,1/21/2025,1/23/2025 0:00,Completed,0,
113,70,P003086,2,3876.24,3876.24,7752.48,0,620.2,0,150,1/23/2025,1/25/2025 0:00,Completed,0,
114,70,P000631,2,73.76,73.76,147.51,0,4.43,0,70,1/23/2025,1/25/2025 0:00,Completed,0,
115,71,P001518,1,8348.06,8348.06,8348.06,0,667.85,0,200,9/7/2025,9/9/2025 0:00,Cancelled,0,
116,71,P003384,1,41.3,41.3,41.3,0,1.24,0,50,9/7/2025,9/9/2025 0:00,Refunded,0,
117,71,P000491,1,3730.08,3730.08,3730.08,0,298.41,0,100,9/7/2025,9/8/2025 0:00,Completed,0,
118,72,P001471,1,9014.02,9014.02,9014.02,0,721.12,0,150,12/30/2022,1/1/2023 0:00,Cancelled,0,
119,73,P003549,1,8789.03,8789.03,8789.03,0,703.12,0,200,3/29/2025,3/30/2025 0:00,Completed,0,
120,74,P002527,1,3837.43,3837.43,3837.43,0,306.99,0,50,7/12/2025,7/14/2025 0:00,Completed,0,
121,74,P003355,1,101.46,101.46,101.46,0,3.04,0,70,7/12/2025,7/14/2025 0:00,Completed,0,
122,75,P000794,1,229.76,229.76,229.76,0,6.89,0,70,9/21/2025,9/23/2025 0:00,Completed,0,
123,75,P002805,2,2520.25,2520.25,5040.49,0,403.24,0,100,9/21/2025,9/23/2025 0:00,Completed,0,
124,76,P002818,1,1587.34,1587.34,1587.34,0,126.99,0,70,7/13/2025,7/15/2025 0:00,Completed,0,
125,76,P000376,2,1198.36,1198.36,2396.73,0,119.84,0,20,7/12/2025,7/14/2025 0:00,Completed,0,
126,77,P004075,1,1327.91,1327.91,1327.91,0,106.23,6.64,50,6/3/2024,6/5/2024 0:00,Completed,0,
127,78,P002566,1,12726.03,12726.03,12726.03,0,636.3,0,100,12/10/2025,12/12/2025 0:00,Completed,0,
128,78,P001413,1,5376.51,5376.51,5376.51,0,537.65,0,30,12/12/2025,12/14/2025 0:00,Completed,0,
129,79,P000528,1,2262.7,2262.7,2262.7,0,271.52,0,20,11/19/2025,11/21/2025 0:00,Completed,0,
130,80,P001706,1,10846.08,10846.08,10846.08,0,867.69,0,200,9/1/2024,9/2/2024 0:00,Completed,0,
131,81,P001034,2,5225.29,5225.29,10450.57,0,522.53,0,100,12/4/2024,12/6/2024 0:00,Completed,0,
132,81,P002822,2,11406.68,11406.68,22813.37,0,1825.07,0,150,12/5/2024,12/7/2024 0:00,Cancelled,0,
133,82,P000838,2,19600.56,19600.56,39201.12,0,1960.06,0,30,8/29/2024,8/31/2024 0:00,Completed,0,
134,83,P004854,1,5807.83,5807.83,5807.83,0,464.63,29.04,100,6/18/2022,6/20/2022 0:00,Completed,0,
135,83,P003861,1,2308.66,2308.66,2308.66,0,184.69,0,100,6/18/2022,6/20/2022 0:00,Cancelled,0,
136,84,P002726,1,7596.92,7596.92,7596.92,0,607.75,0,150,7/13/2025,7/15/2025 0:00,Completed,0,
137,85,P003063,1,85.21,85.21,85.21,0,2.56,0,30,10/13/2025,10/14/2025 0:00,Completed,0,
138,85,P001185,1,7389.69,7389.69,7389.69,0,591.18,0,150,10/12/2025,10/13/2025 0:00,Completed,0,
139,85,P002029,2,144.12,144.12,288.24,0,8.65,0,50,10/13/2025,10/15/2025 0:00,Completed,0,
140,85,P002725,1,10350.77,10350.77,10350.77,0,828.06,0,200,10/11/2025,10/13/2025 0:00,Completed,0,
141,86,P002528,1,6262.09,6262.09,6262.09,0,500.97,0,200,11/17/2023,11/19/2023 0:00,Completed,0,
142,87,P001688,1,6441.78,5862.02,5862.02,9,468.96,0,150,10/10/2024,10/12/2024 0:00,Completed,1,
143,88,P003042,1,151.9,151.9,151.9,0,4.56,0,70,5/13/2024,5/15/2024 0:00,Completed,0,
144,89,P004011,1,9896.36,9896.36,9896.36,0,791.71,49.48,150,9/28/2023,9/30/2023 0:00,Completed,0,
145,90,P001182,1,2877.82,2877.82,2877.82,0,230.23,0,150,11/19/2023,11/21/2023 0:00,Completed,0,
146,91,P001065,1,2707.76,2707.76,2707.76,0,270.78,0,30,6/18/2025,6/20/2025 0:00,Completed,0,
147,92,P001488,1,100.53,100.53,100.53,0,3.02,0,50,12/31/2022,1/2/2023 0:00,Completed,0,
148,93,P004036,2,162.46,162.46,324.91,0,9.75,6.5,70,8/10/2025,8/11/2025 0:00,Completed,0,
149,94,P000669,1,46.53,46.53,46.53,0,1.4,0,70,8/6/2025,8/8/2025 0:00,Completed,0,
150,95,P004131,1,10286.24,10286.24,10286.24,0,822.9,51.43,150,12/31/2025,1/2/2026 0:00,Cancelled,0,
151,95,P002504,1,3993.8,3993.8,3993.8,0,319.5,0,150,1/2/2026,1/4/2026 0:00,Cancelled,0,
152,96,P000105,1,111.33,111.33,111.33,0,3.34,0,50,10/24/2025,10/26/2025 0:00,Completed,0,
153,96,P002520,2,5072.86,5072.86,10145.72,0,811.66,0,150,10/23/2025,10/25/2025 0:00,Cancelled,0,
154,96,P002480,1,1981.75,1981.75,1981.75,0,158.54,0,70,10/25/2025,10/27/2025 0:00,Completed,0,
155,97,P000202,2,4811.72,3873.44,7746.87,19.5,774.69,0,30,4/15/2024,4/17/2024 0:00,Completed,1,PC014280
156,97,P001535,1,5586.1,5183.9,5183.9,7.2,414.71,0,150,4/14/2024,4/16/2024 0:00,Completed,1,
157,97,P001849,1,5797.7,5067.19,5067.19,12.6,405.38,0,200,4/14/2024,4/16/2024 0:00,Completed,1,
158,98,P002536,1,1993.42,1993.42,1993.42,0,159.47,0,50,11/24/2025,11/26/2025 0:00,Completed,0,
159,99,P000481,2,4906.04,4906.04,9812.08,0,784.97,0,50,6/29/2022,7/1/2022 0:00,Completed,0,
160,100,P004796,2,18731.69,18731.69,37463.38,0,1873.17,187.32,100,7/24/2023,7/26/2023 0:00,Completed,0,
161,101,P003366,1,478.82,478.82,478.82,0,14.36,0,50,8/24/2024,8/26/2024 0:00,Completed,0,
162,101,P001603,2,1219.11,1219.11,2438.22,0,292.59,0,20,8/25/2024,8/27/2024 0:00,Refunded,0,
163,102,P001444,1,16573.08,16573.08,16573.08,0,828.65,0,100,11/2/2025,11/4/2025 0:00,Refunded,0,
164,103,P001318,1,2839.8,2839.8,2839.8,0,227.18,0,50,4/13/2024,4/15/2024 0:00,Cancelled,0,
165,103,P004120,3,10899.8,10899.8,32699.4,0,1634.97,163.5,100,4/13/2024,4/15/2024 0:00,Cancelled,0,
166,103,P002828,2,7157.64,7157.64,14315.28,0,1145.22,0,200,4/13/2024,4/15/2024 0:00,Completed,0,
167,104,P001160,2,7316.04,7316.04,14632.07,0,1170.57,0,200,12/27/2025,12/28/2025 0:00,Completed,0,
168,104,P000592,1,123.05,123.05,123.05,0,3.69,0,50,12/27/2025,12/28/2025 0:00,Completed,0,
169,104,P000542,2,1291.29,1291.29,2582.58,0,258.26,0,30,12/29/2025,12/31/2025 0:00,Cancelled,0,
170,105,P002502,1,9582.15,8595.18,8595.18,10.3,687.61,0,200,9/9/2025,9/11/2025 0:00,Completed,1,PC014283
171,106,P001338,1,1885.47,1885.47,1885.47,0,150.84,0,50,8/21/2025,8/23/2025 0:00,Cancelled,0,
172,106,P003841,1,8345.41,8345.41,8345.41,0,667.63,0,200,8/21/2025,8/22/2025 0:00,Cancelled,0,
173,106,P004131,3,8102.22,8102.22,24306.65,0,1944.53,121.53,150,8/20/2025,8/22/2025 0:00,Completed,0,
174,107,P004558,1,197.51,197.51,197.51,0,5.93,0.99,70,9/16/2025,9/18/2025 0:00,Completed,0,
175,107,P001689,1,5951.57,5951.57,5951.57,0,476.13,0,200,9/14/2025,9/16/2025 0:00,Completed,0,
176,107,P004609,1,455.49,455.49,455.49,0,54.66,2.28,20,9/14/2025,9/16/2025 0:00,Completed,0,
177,108,P001571,1,5720.33,5720.33,5720.33,0,286.02,0,100,6/15/2024,6/17/2024 0:00,Completed,0,
178,108,P001466,1,6433.8,6433.8,6433.8,0,514.7,0,150,6/14/2024,6/16/2024 0:00,Completed,0,
179,109,P003077,1,178.31,178.31,178.31,0,5.35,0,70,11/16/2025,11/18/2025 0:00,Completed,0,
180,110,P002828,1,14375.05,14375.05,14375.05,0,1150,0,200,5/9/2023,5/10/2023 0:00,Completed,0,
181,111,P001065,1,4857.53,4857.53,4857.53,0,485.75,0,30,2/4/2025,2/6/2025 0:00,Completed,0,
182,112,P004818,1,1587.37,1587.37,1587.37,0,126.99,7.94,50,11/28/2025,11/30/2025 0:00,Completed,0,
183,113,P004849,1,10045.94,10045.94,10045.94,0,803.67,50.23,150,11/2/2025,11/4/2025 0:00,Cancelled,0,
184,113,P000824,1,52.52,52.52,52.52,0,1.58,0,70,11/3/2025,11/5/2025 0:00,Completed,0,
185,113,P001855,2,5702.16,5702.16,11404.33,0,912.35,0,200,11/1/2025,11/3/2025 0:00,Completed,0,
186,113,P002051,1,8346.93,8346.93,8346.93,0,667.75,0,200,11/3/2025,11/5/2025 0:00,Completed,0,
187,114,P002045,1,7702.81,7702.81,7702.81,0,616.23,0,200,11/25/2025,11/27/2025 0:00,Completed,0,
188,115,P004568,1,143.27,134.68,134.68,6,4.04,0.67,70,10/11/2025,10/13/2025 0:00,Completed,1,
189,116,P004826,2,4840.91,4840.91,9681.82,0,774.55,48.41,100,9/21/2023,9/23/2023 0:00,Cancelled,0,
190,117,P004168,1,210.4,210.4,210.4,0,6.31,4.21,70,8/30/2025,9/1/2025 0:00,Completed,0,
191,118,P003258,1,125.79,125.79,125.79,0,3.77,0,70,8/5/2024,8/6/2024 0:00,Cancelled,0,
192,119,P002296,2,83.18,83.18,166.35,0,4.99,0,70,9/30/2025,10/2/2025 0:00,Completed,0,
193,120,P003130,1,6548.35,6548.35,6548.35,0,523.87,0,200,7/7/2023,7/9/2023 0:00,Completed,0,
194,121,P003170,1,24462.2,24462.2,24462.2,0,1223.11,0,50,8/14/2024,8/15/2024 0:00,Cancelled,0,
195,121,P001328,1,2369.68,2369.68,2369.68,0,189.57,0,100,8/16/2024,8/18/2024 0:00,Completed,0,
196,121,P004004,1,9053.49,9053.49,9053.49,0,724.28,45.27,200,8/16/2024,8/18/2024 0:00,Completed,0,
197,122,P003632,1,2874.67,2874.67,2874.67,0,287.47,0,30,10/4/2023,10/6/2023 0:00,Completed,0,
198,122,P003000,1,9853.75,9853.75,9853.75,0,788.3,0,150,10/4/2023,10/6/2023 0:00,Completed,0,
199,122,P004134,2,8255.92,8255.92,16511.84,0,1320.95,82.56,200,10/5/2023,10/7/2023 0:00,Completed,0,
200,123,P003024,2,5184.18,5184.18,10368.37,0,829.47,0,150,3/18/2025,3/20/2025 0:00,Completed,0,
201,123,P004444,1,8608.25,8608.25,8608.25,0,688.66,43.04,200,3/17/2025,3/19/2025 0:00,Completed,0,
202,124,P004108,1,19655.17,19655.17,19655.17,0,982.76,98.28,100,4/18/2025,4/20/2025 0:00,Cancelled,0,
203,125,P002500,1,8675.23,8675.23,8675.23,0,694.02,0,150,8/23/2024,8/25/2024 0:00,Cancelled,0,
204,126,P003237,2,383.31,383.31,766.61,0,23,0,50,9/20/2025,9/21/2025 0:00,Completed,0,
205,127,P001203,1,9301.8,9301.8,9301.8,0,744.14,0,150,4/11/2024,4/13/2024 0:00,Completed,0,
206,128,P002501,1,14026.87,12399.75,12399.75,11.6,991.98,0,150,12/12/2025,12/14/2025 0:00,Completed,1,
207,129,P000695,2,963.82,963.82,1927.64,0,192.76,0,30,12/19/2024,12/21/2024 0:00,Refunded,0,
208,130,P001328,1,7902.39,7902.39,7902.39,0,632.19,0,100,6/28/2022,6/30/2022 0:00,Completed,0,
209,131,P004132,2,4359.62,4359.62,8719.25,0,697.54,43.6,200,12/23/2025,12/25/2025 0:00,Cancelled,0,
210,132,P003348,1,6828.58,6828.58,6828.58,0,546.29,0,150,12/29/2023,12/31/2023 0:00,Completed,0,
211,133,P004661,1,36575.35,36575.35,36575.35,0,1828.77,182.88,50,12/9/2025,12/11/2025 0:00,Completed,0,
212,133,P001291,1,797.83,797.83,797.83,0,39.89,0,20,12/9/2025,12/11/2025 0:00,Completed,0,
213,134,P004832,3,4782.33,4782.33,14347,0,1147.76,71.73,100,9/6/2025,9/8/2025 0:00,Completed,0,
214,134,P001318,2,1850.2,1850.2,3700.39,0,296.03,0,50,9/4/2025,9/5/2025 0:00,Completed,0,
215,135,P002060,1,7103.35,7103.35,7103.35,0,568.27,0,100,3/7/2023,3/9/2023 0:00,Cancelled,0,
216,136,P004497,1,11772.59,11772.59,11772.59,0,941.81,58.86,200,10/21/2024,10/23/2024 0:00,Cancelled,0,
217,137,P004499,1,21185.56,21185.56,21185.56,0,1059.28,105.93,50,4/30/2025,5/2/2025 0:00,Completed,0,
218,137,P003342,1,13922.24,13922.24,13922.24,0,1113.78,0,200,4/30/2025,5/2/2025 0:00,Completed,0,
219,138,P001169,2,7223.09,6594.68,13189.37,8.7,1055.15,0,200,12/14/2025,12/16/2025 0:00,Cancelled,1,
220,139,P002325,1,22220.23,22220.23,22220.23,0,1111.01,0,30,7/21/2025,7/23/2025 0:00,Completed,0,
221,140,P002544,1,10836.41,10836.41,10836.41,0,866.91,0,200,8/18/2023,8/20/2023 0:00,Cancelled,0,
222,140,P003783,2,270.55,270.55,541.09,0,54.11,0,20,8/17/2023,8/19/2023 0:00,Completed,0,
223,141,P001019,4,17910.93,17910.93,71643.72,0,3582.19,0,100,11/23/2025,11/25/2025 0:00,Completed,0,
224,142,P002069,1,5981.69,5981.69,5981.69,0,478.54,0,200,6/16/2025,6/18/2025 0:00,Cancelled,0,
225,143,P001473,1,12803.41,12803.41,12803.41,0,1024.27,0,200,10/24/2024,10/25/2024 0:00,Completed,0,
226,144,P000322,1,269.93,269.93,269.93,0,32.39,0,20,12/23/2023,12/25/2023 0:00,Cancelled,0,
227,145,P003674,1,271.59,271.59,271.59,0,8.15,0,70,5/3/2025,5/5/2025 0:00,Cancelled,0,
228,145,P003116,1,9094.05,9094.05,9094.05,0,727.52,0,200,5/4/2025,5/5/2025 0:00,Completed,0,
