order_id,order_date,customer_id,order_day,year_month,subtotal_amount,shipping_fee_total,commission_total,maintenance_total,total_amount,campaign_id
138831,12/23/2025,C045868,12/23/2025,2025-12,10086.58,200,806.93,0,10286.58,
175458,11/18/2025,C024434,11/18/2025,2025-11,69215.75,370,5522.63,5.86,69585.75,
175635,4/5/2024,C024908,4/5/2024,2024-04,188.93,70,5.67,0,258.93,
115928,12/19/2024,C037268,12/19/2024,2024-12,53520.88,120,2699.8,0,53640.88,
166488,2/25/2025,C025933,2/25/2025,2025-02,990.69,20,49.53,0,1010.69,
276307,8/24/2025,C006618,8/24/2025,2025-08,35981.15,200,2878.49,179.91,36181.15,
159102,8/12/2025,C028974,8/12/2025,2025-08,3640.54,150,291.24,0,3790.54,
78924,3/27/2025,C017253,3/27/2025,2025-03,13266.06,300,1036.81,0,13566.06,
13786,10/9/2023,C000943,10/9/2023,2023-10,101.86,70,3.06,0,171.86,
108053,7/3/2024,C031537,7/3/2024,2024-07,36938.57,200,2955.09,184.69,37138.57,
229265,12/27/2025,C022585,12/27/2025,2025-12,8004.63,200,640.37,0,8204.63,
26457,11/13/2025,C040893,11/13/2025,2025-11,1998.27,30,199.83,0,2028.27,
109243,12/31/2025,C008240,12/31/2025,2025-12,8287.09,150,662.97,41.44,8437.09,
198267,10/30/2025,C000825,10/30/2025,2025-10,13625.67,180,1120.18,0,13805.67,
69942,9/25/2025,C038934,9/25/2025,2025-09,15529.51,20,776.48,0,15549.51,
52531,11/25/2025,C009090,11/25/2025,2025-11,407.07,50,12.21,8.14,457.07,
244544,11/12/2025,C043961,11/12/2025,2025-11,288.8,70,8.66,0,358.8,
232495,4/1/2025,C000137,4/1/2025,2025-04,3818.73,50,305.5,19.09,3868.73,
267974,12/26/2025,C041601,12/26/2025,2025-12,21629.84,120,1274.94,0,21749.84,
177390,8/18/2023,C001973,8/18/2023,2023-08,18690.32,300,1495.23,26.83,18990.32,
253018,12/20/2025,C028850,12/20/2025,2025-12,8593.21,220,680.48,0,8813.21,
219849,11/3/2025,C015278,11/3/2025,2025-11,23518.95,330,1955.89,18.59,23848.95,
271752,10/8/2024,C015158,10/8/2024,2024-10,5101.22,30,510.12,0,5131.22,
27637,6/19/2025,C005625,6/19/2025,2025-06,124.76,70,3.74,0.62,194.76,
97506,12/12/2025,C037902,12/12/2025,2025-12,19021.28,320,1264.81,41.82,19341.28,
84189,11/16/2024,C030712,11/16/2024,2024-11,51.1,70,1.53,0.26,121.1,
179060,12/24/2024,C020796,12/24/2024,2024-12,162.78,30,4.88,0,192.78,
46761,10/1/2025,C031984,10/1/2025,2025-10,6014.68,220,452.65,0,6234.68,
120037,3/9/2025,C033730,3/9/2025,2025-03,18534.1,130,926.71,0,18664.1,
71564,11/20/2025,C013769,11/20/2025,2025-11,73.17,30,2.2,0,103.17,
266750,6/26/2025,C013132,6/26/2025,2025-06,3873.27,150,309.86,0,4023.27,
187656,10/10/2025,C004477,10/10/2025,2025-10,44.93,50,1.35,0.9,94.93,
59075,6/18/2025,C035965,6/18/2025,2025-06,8790.13,220,703.21,0,9010.13,
222863,11/11/2025,C003191,11/11/2025,2025-11,16467.01,180,1508.71,0,16647.01,
272090,11/27/2025,C017217,11/27/2025,2025-11,12634.37,200,1010.75,63.17,12834.37,
264633,10/25/2024,C029549,10/25/2024,2024-10,47064.58,600,3457.2,0,47664.58,
233181,1/27/2023,C009468,1/27/2023,2023-01,58417.82,600,4673.42,37.59,59017.82,
291396,6/12/2025,C036889,6/12/2025,2025-06,18473.96,170,1288.13,31.63,18643.96,
209007,8/12/2025,C024673,8/12/2025,2025-08,3062.79,50,245.02,0,3112.79,
173786,7/24/2024,C021414,7/24/2024,2024-07,38546.17,50,1927.31,0,38596.17,
235165,12/18/2023,C002360,12/18/2023,2023-12,40.18,70,1.21,0.2,110.18,
268516,4/4/2024,C023929,4/4/2024,2024-04,15817.04,220,1316.12,72.74,16037.04,
179405,7/23/2025,C047024,7/23/2025,2025-07,570.15,70,17.1,0,640.15,
161855,11/20/2023,C003259,11/20/2023,2023-11,7538.3,140,467.97,16.03,7678.3,
174755,2/28/2025,C000339,2/28/2025,2025-02,346.7,20,34.67,1.73,366.7,
2903,12/23/2025,C031275,12/23/2025,2025-12,13908.29,100,695.41,0,14008.29,
274313,11/20/2024,C006799,11/20/2024,2024-11,21575.28,250,1858.53,0,21825.28,
66008,4/13/2023,C007588,4/13/2023,2023-04,11751.77,300,940.14,0,12051.77,C006
15672,11/21/2022,C003033,11/21/2022,2022-11,6012.89,150,481.03,30.06,6162.89,
8935,1/29/2024,C023548,1/29/2024,2024-01,59289.64,270,2945.89,80.17,59559.64,
19428,10/15/2023,C013286,10/15/2023,2023-10,29017.48,50,1450.87,145.09,29067.48,
227301,11/5/2024,C027334,11/5/2024,2024-11,15642.13,150,1251.37,0,15792.13,
27500,5/3/2025,C029315,5/3/2025,2025-05,268.98,20,26.9,0,288.98,
58579,8/15/2025,C000048,8/15/2025,2025-08,33835.34,520,2706.83,0,34355.34,
110349,12/3/2025,C019705,12/3/2025,2025-12,21182.45,170,1057.74,0.34,21352.45,
280791,6/9/2023,C002527,6/9/2023,2023-06,18999.37,300,1519.95,0,19299.37,
139157,7/14/2024,C025802,7/14/2024,2024-07,184.1,50,5.52,0,234.1,
61459,12/17/2025,C018301,12/17/2025,2025-12,15838.17,100,791.91,0,15938.17,
239703,12/1/2024,C026273,12/1/2024,2024-12,19590.49,50,979.52,97.95,19640.49,
285818,9/10/2024,C034716,9/10/2024,2024-09,4357.95,50,449.05,0,4407.95,
1441,3/13/2023,C007129,3/13/2023,2023-03,28249.52,50,1412.48,141.25,28299.52,
90908,3/21/2025,C028273,3/21/2025,2025-03,12870.72,170,1029.66,14.09,13040.72,
94189,12/25/2025,C007983,12/25/2025,2025-12,50096.05,100,2499.08,0,50196.05,
147094,12/13/2025,C002256,12/13/2025,2025-12,7437.01,270,578.06,0,7707.01,
32002,2/5/2025,C023540,2/5/2025,2025-02,6510.51,150,520.84,32.55,6660.51,
214882,8/31/2025,C029859,8/31/2025,2025-08,195.8,70,5.87,0,265.8,
293617,9/3/2025,C046033,9/3/2025,2025-09,13665.32,270,1079.09,5.66,13935.32,
295438,12/10/2025,C048243,12/10/2025,2025-12,4272.07,30,427.21,0,4302.07,
24009,12/7/2025,C045858,12/7/2025,2025-12,13808.19,200,1104.66,0,14008.19,
13243,6/7/2024,C023420,6/7/2024,2024-06,30826.64,400,2466.13,0,31226.64,
69311,10/27/2025,C049481,10/27/2025,2025-10,46846.37,300,2441.21,0,47146.37,
201495,9/20/2024,C017334,9/20/2024,2024-09,7325.74,250,586.06,10.92,7575.74,
44105,8/8/2025,C051781,8/8/2025,2025-08,12408.95,200,992.72,0,12608.95,
256691,12/12/2024,C008151,12/12/2024,2024-12,38.7,50,1.16,0.77,88.7,
252182,12/13/2024,C010833,12/13/2024,2024-12,1344.9,70,107.59,6.72,1414.9,
283012,12/11/2025,C025303,12/11/2025,2025-12,1190.79,100,89.78,0,1290.79,
109879,10/28/2024,C016230,10/28/2024,2024-10,95.21,70,2.86,0.48,165.21,
219011,9/9/2025,C022987,9/9/2025,2025-09,658.58,20,65.86,0,678.58,
174539,9/2/2025,C028080,9/2/2025,2025-09,16926.97,250,1354.15,0,17176.97,
124674,11/25/2023,C015354,11/25/2023,2023-11,13913.21,100,1113.06,0,14013.21,
54015,12/30/2025,C004121,12/30/2025,2025-12,111.3,70,3.34,0,181.3,
257564,7/5/2025,C045122,7/5/2025,2025-07,2483.9,20,124.2,0,2503.9,
204490,1/5/2023,C004492,1/5/2023,2023-01,26006.93,50,1300.35,0,26056.93,
169960,8/6/2025,C009278,8/6/2025,2025-08,266.45,70,7.99,0,336.45,
273274,9/23/2025,C048501,9/23/2025,2025-09,2147.6,30,214.76,0,2177.6,
25935,10/2/2022,C006771,10/2/2022,2022-10,1659.33,70,132.75,8.3,1729.33,
36868,12/19/2024,C037845,12/19/2024,2024-12,158.14,50,4.74,0,208.14,
97061,5/11/2024,C006754,5/11/2024,2024-05,466.6,50,14,0,516.6,
98090,6/15/2024,C010053,6/15/2024,2024-06,13861.22,300,1108.9,69.31,14161.22,
197927,8/10/2024,C025124,8/10/2024,2024-08,15463.98,100,773.2,0,15563.98,
61728,12/2/2024,C010701,12/2/2024,2024-12,2172.11,70,173.77,0,2242.11,
265696,3/29/2025,C015430,3/29/2025,2025-03,90946.82,250,5795.7,0,91196.82,
200770,10/31/2023,C007573,10/31/2023,2023-10,10746.39,200,859.71,0,10946.39,
92117,10/19/2024,C006220,10/19/2024,2024-10,299.85,70,9,0,369.85,
66215,10/16/2025,C030955,10/16/2025,2025-10,3677.3,50,294.18,0,3727.3,
76130,11/28/2024,C009882,11/28/2024,2024-11,6866.89,100,549.35,0,6966.89,
180717,7/6/2025,C011031,7/6/2025,2025-07,7435.66,150,594.85,0,7585.66,
152079,5/6/2022,C003486,5/6/2022,2022-05,190.43,50,5.71,3.81,240.43,
182126,12/10/2024,C000496,12/10/2024,2024-12,35465.08,350,2517.71,0,35815.08,
214052,11/12/2024,C027522,11/12/2024,2024-11,6409.1,300,512.73,0,6709.1,
282368,9/13/2025,C027268,9/13/2025,2025-09,107.47,70,3.22,0,177.47,
168086,11/15/2022,C002684,11/15/2022,2022-11,29534.92,450,2163.65,0,29984.92,
270518,7/2/2025,C020372,7/2/2025,2025-07,13541.55,250,1083.33,0,13791.55,
201191,12/5/2025,C036061,12/5/2025,2025-12,65619.22,100,3280.96,0,65719.22,
224250,12/20/2025,C034195,12/20/2025,2025-12,7543,150,603.44,0,7693,
241700,11/25/2024,C010753,11/25/2024,2024-11,10482.15,400,817.65,0,10882.15,
175396,11/24/2025,C055731,11/24/2025,2025-11,7982.88,50,638.63,0,8032.88,
32179,10/10/2024,C004928,10/10/2024,2024-10,8390.45,50,671.24,0,8440.45,
98290,7/25/2024,C024259,7/25/2024,2024-07,36058.76,250,2608.57,0,36308.76,
245144,6/22/2023,C011026,6/22/2023,2023-06,17500.99,400,1400.08,29.2,17900.99,
137565,6/20/2023,C010215,6/20/2023,2023-06,957.09,140,28.71,17.68,1097.09,
103713,10/4/2025,C052720,10/4/2025,2025-10,551.79,70,16.55,0,621.79,
272889,4/6/2025,C018493,4/6/2025,2025-04,10960.34,220,870.48,0,11180.34,
200086,12/27/2025,C020707,12/27/2025,2025-12,91423.43,80,4746.03,439.63,91503.43,
298516,12/28/2025,C034285,12/28/2025,2025-12,18806.88,250,1504.55,0,19056.88,
9083,11/14/2024,C022546,11/14/2024,2024-11,40261.64,350,3220.93,0,40611.64,
98272,10/17/2025,C022056,10/17/2025,2025-10,20574.12,200,1645.93,0,20774.12,
158545,12/14/2025,C054749,12/14/2025,2025-12,43031.03,270,3557.32,0,43301.03,
260480,12/26/2024,C033480,12/26/2024,2024-12,4642.57,30,464.26,0,4672.57,
78959,10/5/2024,C000003,10/5/2024,2024-10,8106.85,150,648.55,0,8256.85,
117702,10/10/2025,C000115,10/10/2025,2025-10,40.21,70,1.21,0,110.21,
180319,3/22/2024,C009596,3/22/2024,2024-03,510.61,50,40.85,0,560.61,
21842,10/18/2024,C030956,10/18/2024,2024-10,12928.36,200,1034.27,0,13128.36,
155810,12/10/2025,C033473,12/10/2025,2025-12,1160.01,20,116,0,1180.01,
98783,7/24/2025,C048075,7/24/2025,2025-07,91287.44,450,5201.84,0,91737.44,
172560,3/22/2024,C015663,3/22/2024,2024-03,19823.14,180,1649.28,83.26,20003.14,
222864,7/12/2025,C000360,7/12/2025,2025-07,25202.88,50,1260.14,0,25252.88,
246761,9/16/2025,C024996,9/16/2025,2025-09,19835.31,200,1586.82,99.18,20035.31,
124762,12/12/2024,C015819,12/12/2024,2024-12,63.07,70,1.89,1.26,133.07,C015
207626,12/12/2023,C019705,12/12/2023,2023-12,12775.52,200,1022.04,0,12975.52,C010
279368,10/18/2025,C055525,10/18/2025,2025-10,139.01,70,4.17,0,209.01,
216794,9/16/2025,C029971,9/16/2025,2025-09,291.13,30,8.73,0,321.13,
13826,6/8/2022,C001933,6/8/2022,2022-06,19107.53,250,1169.92,0,19357.53,
82195,11/18/2025,C017976,11/18/2025,2025-11,13671.43,150,1093.71,68.36,13821.43,
206323,5/20/2025,C032392,5/20/2025,2025-05,47768.62,80,2386.85,0,47848.62,
95609,12/12/2024,C016790,12/12/2024,2024-12,7752.74,230,603.76,0,7982.74,C015
131351,10/19/2025,C003770,10/19/2025,2025-10,11161.01,150,551.91,54.27,11311.01,
93460,12/18/2024,C038203,12/18/2024,2024-12,6987.17,150,558.97,0,7137.17,
293856,9/19/2022,C002631,9/19/2022,2022-09,25804.64,370,2060.29,0,26174.64,
234204,3/15/2025,C036349,3/15/2025,2025-03,178.79,50,5.36,0,228.79,
63345,5/17/2025,C014471,5/17/2025,2025-05,13897.02,200,1111.76,0,14097.02,
275352,2/23/2025,C007275,2/23/2025,2025-02,5423.7,100,433.9,0,5523.7,
1468,9/14/2025,C034194,9/14/2025,2025-09,31668.71,200,2533.5,0,31868.71,
295460,5/29/2025,C040259,5/29/2025,2025-05,54527.08,400,2844.47,187,54927.08,
71217,7/14/2025,C034860,7/14/2025,2025-07,6051.05,200,484.08,30.26,6251.05,
157306,11/22/2025,C034690,11/22/2025,2025-11,14151.65,200,1132.13,70.76,14351.65,
2075,9/7/2025,C038839,9/7/2025,2025-09,13973.69,200,1117.9,0,14173.69,
210969,9/18/2023,C008373,9/18/2023,2023-09,13611.13,300,1088.89,50.66,13911.13,
74638,4/16/2024,C015173,4/16/2024,2024-04,5455.81,30,545.58,0,5485.81,
201462,12/28/2025,C044418,12/28/2025,2025-12,13296.43,250,844.33,0,13546.43,
70014,2/13/2025,C022392,2/13/2025,2025-02,13688.05,200,1095.04,68.44,13888.05,
237566,3/14/2025,C034721,3/14/2025,2025-03,19391.22,50,1131.23,0,19441.22,
293855,8/2/2025,C040982,8/2/2025,2025-08,2897.71,80,274.12,0,2977.71,
242847,12/17/2025,C009054,12/17/2025,2025-12,20930.71,250,1674.46,8.06,21180.71,
140520,9/6/2025,C039778,9/6/2025,2025-09,64748.24,450,4430.97,0,65198.24,
85802,6/21/2025,C022131,6/21/2025,2025-06,11381.06,100,569.05,56.91,11481.06,
112165,10/30/2023,C004156,10/30/2023,2023-10,4293.85,50,377.9,0,4343.85,
217045,2/23/2024,C011657,2/23/2024,2024-02,13951.62,300,1116.13,33.41,14251.62,
210602,9/16/2023,C013760,9/16/2023,2023-09,22926.03,500,1875.38,0,23426.03,
132583,4/11/2024,C004077,4/11/2024,2024-04,783.34,50,62.67,0,833.34,
283249,12/11/2024,C002796,12/11/2024,2024-12,6608.07,100,528.65,0,6708.07,
138844,11/11/2025,C008976,11/11/2025,2025-11,47712.35,220,2764.48,1.12,47932.35,C019
15062,5/29/2025,C033908,5/29/2025,2025-05,4037.7,30,403.77,0,4067.7,
164358,12/19/2022,C004410,12/19/2022,2022-12,13030.1,200,1042.41,65.15,13230.1,
232393,8/16/2024,C006759,8/16/2024,2024-08,5260.27,270,413.25,0,5530.27,
40054,10/10/2023,C015499,10/10/2023,2023-10,18490.34,350,1479.23,30.79,18840.34,
227745,7/31/2025,C025987,7/31/2025,2025-07,6331.68,100,316.58,31.66,6431.68,
221586,12/12/2025,C022644,12/12/2025,2025-12,587.82,100,17.64,1.66,687.82,
258106,6/7/2025,C008047,6/7/2025,2025-06,16575.37,200,1326.03,33.39,16775.37,
15867,5/21/2023,C008420,5/21/2023,2023-05,13550.82,370,1117.54,0,13920.82,
162803,10/20/2024,C036133,10/20/2024,2024-10,7964.3,100,398.21,39.82,8064.3,
54501,12/6/2025,C003810,12/6/2025,2025-12,254.22,50,7.63,0,304.22,
113510,9/30/2025,C031018,9/30/2025,2025-09,258.97,70,7.77,0,328.97,
286633,7/9/2023,C015689,7/9/2023,2023-07,23855.84,250,1590.14,0,24105.84,
126970,8/10/2023,C003702,8/10/2023,2023-08,10419.7,200,833.58,0,10619.7,
225262,9/20/2024,C003461,9/20/2024,2024-09,23573.08,400,1885.85,0,23973.08,
133197,2/18/2025,C026460,2/18/2025,2025-02,3811.97,100,304.96,0,3911.97,
116869,11/4/2024,C029887,11/4/2024,2024-11,2152.74,70,172.22,10.76,2222.74,
259548,9/17/2025,C029554,9/17/2025,2025-09,10756.02,470,855.77,20.01,11226.02,
135186,10/21/2025,C042490,10/21/2025,2025-10,5724.21,50,286.21,0,5774.21,
166478,12/13/2025,C001951,12/13/2025,2025-12,10497.13,150,523.37,0,10647.13,
262722,11/23/2025,C002926,11/23/2025,2025-11,6039.01,150,483.12,0,6189.01,
105993,12/12/2024,C030679,12/12/2024,2024-12,13628.28,200,793.81,18.73,13828.28,C015
189117,6/15/2024,C013525,6/15/2024,2024-06,16670.93,250,1217.73,0,16920.93,
106238,12/23/2023,C020958,12/23/2023,2023-12,7490.28,230,596.32,0,7720.28,
161865,10/25/2024,C012636,10/25/2024,2024-10,16255.45,270,1300.44,23.32,16525.45,
248861,6/18/2025,C004720,6/18/2025,2025-06,203.63,70,6.11,4.07,273.63,
91550,8/10/2023,C008822,8/10/2023,2023-08,78.14,50,2.34,0,128.14,
209051,10/10/2023,C003438,10/10/2023,2023-10,2150.06,100,184.75,8.65,2250.06,
285243,10/6/2022,C005919,10/6/2022,2022-10,1383.38,140,91.3,0,1523.38,
272177,11/11/2025,C000023,11/11/2025,2025-11,138.78,50,4.16,0,188.78,C019
99923,10/4/2023,C012823,10/4/2023,2023-10,797.71,20,95.73,0,817.71,
274840,12/19/2025,C023327,12/19/2025,2025-12,1558.94,20,187.07,0,1578.94,
296990,5/21/2025,C005928,5/21/2025,2025-05,18250.35,120,1476.56,0,18370.35,
29017,11/14/2023,C003626,11/14/2023,2023-11,393.57,20,47.23,0,413.57,
286811,9/8/2025,C027398,9/8/2025,2025-09,2659,40,319.08,0,2699,
201062,8/12/2025,C039357,8/12/2025,2025-08,35501.56,50,1775.08,0,35551.56,
145995,4/23/2025,C015420,4/23/2025,2025-04,5022.02,200,401.76,0,5222.02,
230250,12/23/2024,C038885,12/23/2024,2024-12,10128.32,150,810.27,0,10278.32,
6080,9/18/2025,C015791,9/18/2025,2025-09,37455.41,450,2483.68,0,37905.41,
128750,9/23/2025,C032843,9/23/2025,2025-09,24422.78,200,1953.82,0,24622.78,
151384,5/4/2025,C032509,5/4/2025,2025-05,16905.3,100,845.27,0,17005.3,
136202,10/14/2024,C022864,10/14/2024,2024-10,6033.11,200,482.65,0,6233.11,
115460,6/12/2025,C011330,6/12/2025,2025-06,24240.73,50,1212.04,0,24290.73,
143039,2/13/2025,C037449,2/13/2025,2025-02,11490.85,230,902.46,62.49,11720.85,
124263,9/21/2024,C034861,9/21/2024,2024-09,19607.96,200,1568.64,0,19807.96,
229923,6/29/2025,C032858,6/29/2025,2025-06,23618.74,170,1174.92,0,23788.74,
277376,6/2/2025,C002791,6/2/2025,2025-06,8165.46,270,647.33,0,8435.46,
39348,8/3/2025,C000301,8/3/2025,2025-08,202.25,70,6.07,0,272.25,
280798,11/4/2023,C018428,11/4/2023,2023-11,17871.79,390,1441.85,26.82,18261.79,
295235,9/20/2025,C022845,9/20/2025,2025-09,17481.54,250,1398.53,87.4,17731.54,
158483,11/26/2025,C017568,11/26/2025,2025-11,8455.58,150,676.45,0,8605.58,
244147,12/29/2023,C020447,12/29/2023,2023-12,38650.24,100,1995.88,0,38750.24,
49238,10/7/2025,C015476,10/7/2025,2025-10,7735.19,220,608.68,41.71,7955.19,
152021,11/6/2024,C003477,11/6/2024,2024-11,9669.1,220,679.98,0,9889.1,
292746,12/30/2024,C013152,12/30/2024,2024-12,17056.69,50,852.83,0,17106.69,
116002,6/6/2025,C041344,6/6/2025,2025-06,6817.42,20,340.87,0,6837.42,
229760,9/17/2025,C015631,9/17/2025,2025-09,2060.25,20,247.23,0,2080.25,
268382,6/2/2023,C007092,6/2/2023,2023-06,5946.72,150,475.74,0,6096.72,
46050,12/31/2022,C010734,12/31/2022,2022-12,22245.95,50,1112.3,0,22295.95,
228350,11/4/2025,C033692,11/4/2025,2025-11,7878.68,180,678.16,0,8058.68,
96400,12/11/2025,C052227,12/11/2025,2025-12,8007.6,150,640.61,40.04,8157.6,
54598,11/4/2025,C000907,11/4/2025,2025-11,4760.67,130,460.76,0,4890.67,
41371,4/4/2024,C016058,4/4/2024,2024-04,44563.99,150,2228.2,0,44713.99,
27159,12/23/2025,C031113,12/23/2025,2025-12,30122.94,130,1506.15,0,30252.94,
258941,12/31/2025,C046824,12/31/2025,2025-12,157.34,70,4.72,0,227.34,
288836,7/25/2022,C003796,7/25/2022,2022-07,49.83,30,1.49,0,79.83,
231551,9/9/2025,C007009,9/9/2025,2025-09,10359.11,230,811.97,0,10589.11,
14124,12/2/2023,C017600,12/2/2023,2023-12,8773.24,150,701.86,43.87,8923.24,
297160,2/2/2025,C027727,2/2/2025,2025-02,7202.22,200,576.18,36.01,7402.22,
40969,11/11/2025,C006909,11/11/2025,2025-11,27.01,50,0.81,0,77.01,C019
75931,12/28/2025,C041300,12/28/2025,2025-12,2590.33,70,207.23,0,2660.33,
134337,4/3/2024,C020968,4/3/2024,2024-04,25199.68,230,1601.01,0,25429.68,
205224,8/19/2022,C002934,8/19/2022,2022-08,21954.06,150,1084.23,0,22104.06,
202912,9/8/2025,C007409,9/8/2025,2025-09,2167.14,150,173.37,0,2317.14,
233385,11/11/2025,C036921,11/11/2025,2025-11,11589.57,200,927.17,0,11789.57,
10192,12/12/2025,C001367,12/12/2025,2025-12,25500.32,320,1534.93,1.09,25820.32,C020
295103,12/12/2025,C022843,12/12/2025,2025-12,3907.99,150,312.64,19.54,4057.99,
265904,1/13/2025,C004238,1/13/2025,2025-01,16531.71,280,953.62,60.66,16811.71,
208751,5/12/2024,C024145,5/12/2024,2024-05,42153.6,420,3365.26,0.7,42573.6,
47470,10/16/2024,C027474,10/16/2024,2024-10,59675.53,300,4774.04,0,59975.53,
1089,6/25/2023,C002950,6/25/2023,2023-06,11452.78,200,916.22,0,11652.78,
232967,11/14/2025,C038364,11/14/2025,2025-11,152.42,70,4.57,0,222.42,
250815,7/2/2024,C014412,7/2/2024,2024-07,12357.87,330,1044.87,14.06,12687.87,
118694,5/1/2023,C014004,5/1/2023,2023-05,4097.55,220,321.06,0.67,4317.55,
266552,2/22/2025,C005955,2/22/2025,2025-02,11750.71,170,979.22,48.96,11920.71,
131311,11/9/2025,C015589,11/9/2025,2025-11,58.28,30,1.75,0,88.28,
89446,12/12/2025,C004879,12/12/2025,2025-12,14020.09,270,1108.6,0,14290.09,
207654,9/16/2025,C053483,9/16/2025,2025-09,32998.87,300,2639.91,0,33298.87,
48916,12/4/2024,C030003,12/4/2024,2024-12,9247.86,100,462.39,0,9347.86,
293369,11/15/2023,C020305,11/15/2023,2023-11,34739.86,120,1784.58,0,34859.86,
266696,10/1/2025,C000870,10/1/2025,2025-10,53309.04,420,3159.13,0,53729.04,
5886,11/18/2025,C044760,11/18/2025,2025-11,51474.38,400,4117.94,20.49,51874.38,
289039,7/8/2024,C021156,7/8/2024,2024-07,108.92,50,3.27,0,158.92,
39266,9/22/2025,C016375,9/22/2025,2025-09,25636.37,50,1281.82,0,25686.37,
118136,12/25/2025,C055014,12/25/2025,2025-12,44798.44,650,3576.71,67,45448.44,
87239,1/17/2025,C023463,1/17/2025,2025-01,341.84,70,10.26,0,411.84,
